0,134,24.59,0.03
0,136,23.30,0.03
0,134,23.30,0.03
0,135,22.19,0.02
0,135,21.99,0.02
2,319,1.32,0.01
0,130,34.16,0.09
0,131,34.28,0.09
0,134,24.52,0.03
0,135,24.36,0.04
0,135,23.43,0.03
0,134,23.34,0.03
0,136,22.34,0.02
0,135,22.16,0.02
2,317,1.32,0.01
0,129,34.30,0.08
0,132,33.91,0.09
0,134,24.55,0.04
0,134,24.44,0.04
0,136,23.63,0.03
0,136,23.57,0.02
0,134,22.02,0.02
0,135,22.40,0.02
2,311,1.32,0.01
0,130,34.04,0.09
0,130,34.25,0.09
0,135,24.54,0.05
0,133,24.25,0.04
0,134,23.19,0.02
0,134,23.15,0.02
0,135,22.08,0.02
0,134,22.03,0.02
2,299,1.39,0.01
0,130,34.08,0.09
0,130,34.23,0.07
0,136,24.46,0.03
0,136,24.59,0.03
0,134,22.86,0.03
0,133,23.26,0.03
0,135,21.96,0.02
0,135,22.07,0.02
2,312,1.42,0.01
0,130,34.13,0.09
0,130,34.38,0.09
0,135,24.41,0.02
0,135,24.28,0.03
0,136,23.26,0.03
0,134,23.48,0.03
0,134,21.99,0.02
0,135,21.88,0.02
2,299,1.30,0.02
0,131,34.12,0.08
0,130,33.91,0.09
0,134,24.34,0.04
0,134,24.09,0.04
0,134,23.11,0.03
0,133,23.18,0.03
0,135,21.97,0.01
0,135,21.79,0.02
2,311,1.34,0.01
0,131,34.05,0.08
0,131,33.85,0.09
0,134,24.67,0.04
0,133,24.45,0.04
0,135,23.36,0.03
0,135,23.17,0.03
0,135,22.01,0.02
0,135,21.99,0.02
2,330,1.33,0.01
0,130,34.08,0.08
0,129,34.02,0.07
0,134,24.52,0.03
0,135,24.09,0.04
0,133,23.38,0.03
0,133,23.55,0.02
0,136,21.93,0.02
0,134,21.94,0.02
2,307,1.43,0.01
0,130,34.14,0.08
0,129,34.07,0.09
0,134,24.47,0.03
0,135,24.37,0.04
0,133,23.31,0.02
0,135,23.17,0.03
0,135,21.93,0.02
0,135,21.89,0.02
2,328,1.33,0.01
0,130,33.78,0.08
0,131,34.19,0.08
0,132,24.30,0.03
0,135,24.25,0.04
0,134,23.29,0.02
0,134,22.99,0.04
0,136,22.02,0.02
0,136,22.13,0.01
2,305,1.34,0.01
0,131,33.89,0.08
0,130,34.03,0.08
0,135,24.34,0.03
0,133,24.32,0.04
0,136,23.29,0.03
0,132,23.23,0.03
0,135,22.09,0.02
0,136,22.05,0.02
2,313,1.34,0.01
0,129,34.16,0.08
0,130,34.15,0.08
0,135,24.31,0.03
0,134,24.06,0.04
0,135,23.08,0.04
0,134,23.23,0.03
0,134,21.79,0.02
0,135,21.76,0.02
2,324,1.34,0.02
0,129,34.15,0.08
0,130,33.84,0.08
0,134,24.11,0.03
0,135,24.37,0.02
0,135,23.26,0.03
0,136,23.10,0.02
0,133,22.05,0.02
0,136,21.70,0.02
2,320,1.29,0.01
0,130,33.80,0.09
